,Unnamed: 0,userId,movieId,timestamp,tag,rating,title,genres,year
0,0,2,60756,1445714980,funny|Highly quotable|will ferrell,5.0,Step Brothers,Comedy,2008
1,1,62,60756,1528934376,comedy|funny|will ferrell,3.5,Step Brothers,Comedy,2008
2,2,424,60756,1457846119,funny|will ferrell,4.0,Step Brothers,Comedy,2008
3,3,2,89774,1445715189,Boxing story|MMA|Tom Hardy,5.0,Warrior,Drama,2011
4,4,2,106782,1445714966,drugs|Leonardo DiCaprio|Martin Scorsese,5.0,"Wolf of Wall Street, The",Comedy|Crime|Drama,2013
5,5,537,106782,1424142673,Stock Market|Wall Street,5.0,"Wolf of Wall Street, The",Comedy|Crime|Drama,2013
6,6,7,48516,1169687318,way too long,1.0,"Departed, The",Crime|Drama|Thriller,2006
7,7,357,48516,1348610145,Leonardo DiCaprio|suspense|twist ending|undercover cop,4.0,"Departed, The",Crime|Drama|Thriller,2006
8,8,424,48516,1457843150,atmospheric|Jack Nicholson|Leonardo DiCaprio|Martin Scorsese|suspense,4.5,"Departed, The",Crime|Drama|Thriller,2006
9,9,18,431,1462138790,Al Pacino|gangster|mafia,4.0,Carlito's Way,Crime|Drama,1993
10,10,18,1221,1460242083,Al Pacino|Mafia,5.0,"Godfather: Part II, The",Crime|Drama,1974
11,11,474,1221,983033120,Mafia,5.0,"Godfather: Part II, The",Crime|Drama,1974
12,12,18,5995,1455735416,holocaust|true story,4.5,"Pianist, The",Drama|War,2002
13,13,474,5995,1054300218,Holocaust,4.5,"Pianist, The",Drama|War,2002
14,14,18,44665,1455049870,twist ending,4.5,Lucky Number Slevin,Crime|Drama|Mystery,2006
15,15,18,52604,1457650649,Anthony Hopkins|courtroom drama|twist ending,4.5,Fracture,Crime|Drama|Mystery|Thriller,2007
16,16,18,88094,1457352482,britpop|indie record label|music,3.0,Upside Down: The Creation Records Story,Documentary,2010
17,17,18,144210,1455060282,dumpster diving|Sustainability,4.0,Just Eat It: A Food Waste Story,Documentary,2014
18,18,21,119141,1419793939,bloody,0.5,The Interview,Action|Comedy,2014
19,19,62,119141,1525555123,bromance|comedy|funny|James Franco|Seth Rogen,3.0,The Interview,Action|Comedy,2014
20,20,49,109487,1493093231,black hole|sci-fi|time-travel,4.5,Interstellar,Sci-Fi|IMAX,2014
21,21,567,109487,1525287553,bad dialogue|philosophical issues|thought-provoking|visually appealing,3.0,Interstellar,Sci-Fi|IMAX,2014
22,22,62,2,1528843890,fantasy|magic board game|Robin Williams,4.0,Jumanji,Adventure|Children|Fantasy,1995
23,23,474,2,1046886814,game,3.0,Jumanji,Adventure|Children|Fantasy,1995
24,24,62,110,1521822303,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight,4.5,Braveheart,Action|Drama|War,1995
25,25,474,110,1137180852,Scotland,3.0,Braveheart,Action|Drama|War,1995
26,26,62,410,1525636601,black comedy|Christina Ricci|Christopher Lloyd|dark comedy|family|gothic,4.5,Addams Family Values,Children|Comedy|Fantasy,1993
27,27,62,2023,1525636725,Al Pacino|Andy Garcia|Classic|Francis Ford Coppola|mafia,5.0,"Godfather: Part III, The",Crime|Drama|Mystery|Thriller,1990
28,28,62,2124,1525636840,black comedy|Christina Ricci|Christopher Lloyd|Family|gothic|quirky,5.0,"Addams Family, The",Children|Comedy|Fantasy,1991
29,29,62,2953,1525636880,family|funny|Macaulay Culkin|sequel,3.5,Home Alone 2: Lost in New York,Children|Comedy,1992
30,30,62,3114,1525636897,animation|Disney|funny|original|Pixar|sequel|Tom Hanks,3.0,Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,1999
31,31,474,3114,1002927941,Pixar,4.0,Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,1999
32,32,62,3578,1521489618,ancient Rome|Epic|history|imdb top 250|revenge|Rome|Russell Crowe,4.5,Gladiator,Action|Adventure|Drama,2000
33,33,606,3578,1171323835,Romans,3.5,Gladiator,Action|Adventure|Drama,2000
34,34,62,4223,1525125789,Ed Harris|Jude Law|Rachel Weisz|sniper|World War II,4.5,Enemy at the Gates,Drama|War,2001
35,35,62,5388,1530310806,Al Pacino|atmospheric|Hilary Swank|Robin Williams,4.5,Insomnia,Action|Crime|Drama|Mystery|Thriller,2002
36,36,184,5388,1537094597,atmospheric|insomnia|thought-provoking,3.5,Insomnia,Action|Crime|Drama|Mystery|Thriller,2002
37,37,62,6058,1525555043,sequel|violent,3.5,Final Destination 2,Horror|Thriller,2003
38,38,62,6534,1525553932,dogs|Eric Bana|mad scientist|marvel,3.5,Hulk,Action|Adventure|Sci-Fi,2003
